Epoch 70 , SSIM 0.4297837461344898 , GDL 0.5844959368696436, TL 1.1434665569104254, DL 0.4319172315299511, DACC 72.94921875, DGACC 99.609375, COLORFULLNESS 0.12918688813806511 
Epoch 71 , SSIM 0.38591360906139016 , GDL 0.3006425625644624, TL 0.7736946004442871, DL 0.4283300896640867, DACC 96.875, DGACC 99.6337890625, COLORFULLNESS 0.08713843029545387 
Epoch 72 , SSIM 0.28741020197048783 , GDL 0.23774540645536035, TL 0.6097705711144954, DL 0.4234129039105028, DACC 98.974609375, DGACC 99.951171875, COLORFULLNESS 0.0846149591379799 
Epoch 73 , SSIM 0.3225417332723737 , GDL 0.23946285340934992, TL 0.6669779408257455, DL 0.409706145292148, DACC 99.8046875, DGACC 100.0, COLORFULLNESS 0.10497335449326783 
Epoch 74 , SSIM 0.3365044086240232 , GDL 0.27366821467876434, TL 0.7056247512809932, DL 0.4077982776798308, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.09545212586817797 
Epoch 75 , SSIM 0.3355616289190948 , GDL 0.28533646184951067, TL 0.7036972786299884, DL 0.40635200240649283, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08279918960761279 
Epoch 76 , SSIM 0.3735659406520426 , GDL 0.3764557980466634, TL 0.8413526564836502, DL 0.4057356941048056, DACC 97.94921875, DGACC 100.0, COLORFULLNESS 0.09133091682451777 
Epoch 77 , SSIM 0.4039609143510461 , GDL 0.41430634690914303, TL 0.9219971057027578, DL 0.4114911227952689, DACC 90.087890625, DGACC 100.0, COLORFULLNESS 0.10372984129935503 
Epoch 78 , SSIM 0.41789220878854394 , GDL 0.5798417421756312, TL 1.1171933920122683, DL 0.43500493303872645, DACC 79.248046875, DGACC 99.7314453125, COLORFULLNESS 0.11945944940089248 
Epoch 79 , SSIM 0.26965160807594657 , GDL 0.2149925681296736, TL 0.5713014684151858, DL 0.4073306715581566, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08665729122731136 
Epoch 80 , SSIM 0.2907238947227597 , GDL 0.2845358439953998, TL 0.6622917358763516, DL 0.4141994051169604, DACC 99.267578125, DGACC 100.0, COLORFULLNESS 0.08703199627052527 
Epoch 81 , SSIM 0.37733808858320117 , GDL 0.5203359036240727, TL 1.001471952535212, DL 0.4587967961560935, DACC 78.466796875, DGACC 99.6337890625, COLORFULLNESS 0.10379795772314537 
Epoch 82 , SSIM 0.4513392769731581 , GDL 0.9648728014435619, TL 1.5664018830284476, DL 0.4431886712554842, DACC 73.095703125, DGACC 99.560546875, COLORFULLNESS 0.15018980826425832 
Epoch 83 , SSIM 0.35145264444872737 , GDL 0.283121241023764, TL 0.7355702761560678, DL 0.4106916063465178, DACC 98.681640625, DGACC 100.0, COLORFULLNESS 0.100996391105582 
Epoch 84 , SSIM 0.3194417590275407 , GDL 0.24254817387554795, TL 0.6380075847264379, DL 0.41236398136243224, DACC 100.0, DGACC 99.9755859375, COLORFULLNESS 0.07601765260187676 
Epoch 85 , SSIM 0.2831878806464374 , GDL 0.22634884587023407, TL 0.5949980998411775, DL 0.40858284570276737, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.08546137043595081 
Epoch 86 , SSIM 0.30386653961613774 , GDL 0.27759136469103396, TL 0.6649248956236988, DL 0.40853017987683415, DACC 99.658203125, DGACC 100.0, COLORFULLNESS 0.08346698820241727 
Epoch 87 , SSIM 0.3032702533528209 , GDL 0.25599185342434794, TL 0.6438324877526611, DL 0.40922900033183396, DACC 100.0, DGACC 99.9755859375, COLORFULLNESS 0.08457037998596206 
Epoch 88 , SSIM 0.3480359143577516 , GDL 0.3640128009719774, TL 0.7921921289525926, DL 0.42108495347201824, DACC 95.21484375, DGACC 99.951171875, COLORFULLNESS 0.08014341440866701 
Epoch 89 , SSIM 0.33518710639327765 , GDL 0.32339691964443773, TL 0.7423962159082294, DL 0.4155574096366763, DACC 95.361328125, DGACC 100.0, COLORFULLNESS 0.08381219165312359 
Epoch 90 , SSIM 0.2640884639695287 , GDL 0.2058893134817481, TL 0.5493993009440601, DL 0.40699991188012064, DACC 100.0, DGACC 99.9755859375, COLORFULLNESS 0.07942152257601265 
Epoch 91 , SSIM 0.29686319502070546 , GDL 0.33431112056132406, TL 0.7337827382143587, DL 0.40690623177215457, DACC 96.142578125, DGACC 100.0, COLORFULLNESS 0.10260842482966837 
Epoch 92 , SSIM 0.32058486994355917 , GDL 0.29233773658052087, TL 0.7145203310064971, DL 0.404283742653206, DACC 99.755859375, DGACC 100.0, COLORFULLNESS 0.10159772197948769 
Epoch 93 , SSIM 0.36323256930336356 , GDL 0.4091282822191715, TL 0.8911022245883942, DL 0.4045190892647952, DACC 97.8515625, DGACC 100.0, COLORFULLNESS 0.11874137193080969 
Epoch 94 , SSIM 0.4212613203562796 , GDL 0.5767853939905763, TL 1.1077454020269215, DL 0.41914798552170396, DACC 74.4140625, DGACC 99.9755859375, COLORFULLNESS 0.10969868785468861 
Epoch 95 , SSIM 0.4011925724335015 , GDL 0.4689511687029153, TL 0.9606262091547251, DL 0.41307500936090946, DACC 82.71484375, DGACC 100.0, COLORFULLNESS 0.09048246991733322 
Epoch 96 , SSIM 0.319934397470206 , GDL 0.2491915754508227, TL 0.6559061526786536, DL 0.40898281754925847, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.08678018108184915 
Epoch 97 , SSIM 0.3445850443094969 , GDL 0.3911862149834633, TL 0.8272558101452887, DL 0.4087528979871422, DACC 90.72265625, DGACC 100.0, COLORFULLNESS 0.09148455596005078 
Epoch 98 , SSIM 0.36556769954040647 , GDL 0.679217018187046, TL 1.1499827895313501, DL 0.41550323949195445, DACC 50.732421875, DGACC 100.0, COLORFULLNESS 0.105198074656073 
Epoch 99 , SSIM 0.3847210966050625 , GDL 0.33377202320843935, TL 0.8152456302195787, DL 0.4080207033548504, DACC 93.994140625, DGACC 100.0, COLORFULLNESS 0.09675250928557944 
Epoch 100 , SSIM 0.37210608925670385 , GDL 0.3078611249802634, TL 0.7755605662241578, DL 0.40576216438785195, DACC 98.4375, DGACC 100.0, COLORFULLNESS 0.09559334933874197 
Epoch 101 , SSIM 0.4142932998947799 , GDL 0.46414361824281514, TL 0.9779734979383647, DL 0.4095313649158925, DACC 89.55078125, DGACC 100.0, COLORFULLNESS 0.09953657666483195 
Epoch 102 , SSIM 0.4219295494258404 , GDL 0.6851178100332618, TL 1.2150740064680576, DL 0.41370287584140897, DACC 63.525390625, DGACC 100.0, COLORFULLNESS 0.10802664941002149 
Epoch 103 , SSIM 0.33054909855127335 , GDL 0.22459132235962898, TL 0.6361110890284181, DL 0.4051300568971783, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.08097066576738143 
Epoch 104 , SSIM 0.3086034203879535 , GDL 0.2750622216844931, TL 0.6622740209568292, DL 0.40326143708080053, DACC 100.0, DGACC 100.0, COLORFULLNESS 0.07860837967018597 
Epoch 105 , SSIM 0.3550757337361574 , GDL 0.45588646247051656, TL 0.8898409469984472, DL 0.4063688397873193, DACC 94.04296875, DGACC 100.0, COLORFULLNESS 0.07887875020969659 
Epoch 106 , SSIM 0.3584463535808027 , GDL 0.4867637394927442, TL 0.9398420741781592, DL 0.4137418356258422, DACC 80.517578125, DGACC 100.0, COLORFULLNESS 0.09463198579760501 
Epoch 107 , SSIM 0.3310398911125958 , GDL 0.4326467935461551, TL 0.8559077698737383, DL 0.40754339285194874, DACC 94.873046875, DGACC 100.0, COLORFULLNESS 0.09222108527319506 
Epoch 108 , SSIM 0.3154531172476709 , GDL 0.28334048099350184, TL 0.6929911966435611, DL 0.40399924060329795, DACC 99.853515625, DGACC 100.0, COLORFULLNESS 0.09419759694719687 
Epoch 109 , SSIM 0.3393983473069966 , GDL 0.3287862112047151, TL 0.7861399413086474, DL 0.4032065614592284, DACC 99.90234375, DGACC 100.0, COLORFULLNESS 0.11795538353908341 
Epoch 110 , SSIM 0.3524781549349427 , GDL 0.42757815192453563, TL 0.8965417803265154, DL 0.405088315019384, DACC 91.30859375, DGACC 100.0, COLORFULLNESS 0.11648547062941361 
Epoch 111 , SSIM 0.34811417758464813 , GDL 0.2565081015927717, TL 0.6898481748066843, DL 0.40460663521662354, DACC 99.462890625, DGACC 100.0, COLORFULLNESS 0.08522589747735765 
Epoch 112 , SSIM 0.3423606953583658 , GDL 0.31144636985845864, TL 0.7536461460404098, DL 0.4038886190392077, DACC 98.33984375, DGACC 100.0, COLORFULLNESS 0.09983908414142206 
Epoch 113 , SSIM 0.36123592406511307 , GDL 0.38608421152457595, TL 0.8438004371710122, DL 0.4156257815193385, DACC 89.453125, DGACC 99.9755859375, COLORFULLNESS 0.09648030623793602 
Epoch 114 , SSIM 0.338994269259274 , GDL 0.325300011318177, TL 0.765782268717885, DL 0.4398907572031021, DACC 96.533203125, DGACC 99.755859375, COLORFULLNESS 0.10148798722366337 
Epoch 115 , SSIM 0.298202361445874 , GDL 0.2861036175163463, TL 0.6650381737854332, DL 0.4194551466498524, DACC 96.77734375, DGACC 99.9267578125, COLORFULLNESS 0.08073219515790697 
Epoch 116 , SSIM 0.4210871630348265 , GDL 0.43610345653723925, TL 1.0186791154555976, DL 0.40775067708455026, DACC 88.427734375, DGACC 100.0, COLORFULLNESS 0.16148849713499658 
Epoch 117 , SSIM 0.36695986380800605 , GDL 0.2437522578984499, TL 0.7034338694065809, DL 0.4044063533656299, DACC 99.951171875, DGACC 100.0, COLORFULLNESS 0.09272174737998284 
Epoch 118 , SSIM 0.36851020669564605 , GDL 0.40607534151058644, TL 0.8814341858960688, DL 0.4057895625010133, DACC 92.724609375, DGACC 100.0, COLORFULLNESS 0.10684863290953217 
