Epoch 162 , SSIM -0.2562061190605164 , GDL 0.7396597957611084, TL 0.4834536749124527, DL 1.3790184044837952, DACC 45.21875, DGACC55.0625 
Epoch 163 , SSIM -0.25609841182827947 , GDL 0.7350845217704773, TL 0.4789861100912094, DL 1.395589654445648, DACC 46.09375, DGACC53.125 
Epoch 164 , SSIM -0.258069414049387 , GDL 0.7351164919137955, TL 0.4770470777153969, DL 1.3794392001628877, DACC 45.78125, DGACC54.8125 
Epoch 165 , SSIM -0.25964206546545027 , GDL 0.7370067495107651, TL 0.47736468285322187, DL 1.385291075706482, DACC 45.625, DGACC53.75 
Epoch 166 , SSIM -0.25907654643058775 , GDL 0.7282213640213012, TL 0.46914481818675996, DL 1.387630318403244, DACC 45.5, DGACC54.10937500000001 
Epoch 167 , SSIM -0.2584825640916824 , GDL 0.7301600807905197, TL 0.47167751789093015, DL 1.385237991809845, DACC 46.5625, DGACC53.890625 
Epoch 168 , SSIM -0.25954949736595156 , GDL 0.7377342426776886, TL 0.47818474501371383, DL 1.3776634049415588, DACC 43.28125, DGACC54.65624999999999 
Epoch 169 , SSIM -0.26006009250879286 , GDL 0.7366764485836029, TL 0.4766163566708565, DL 1.3744275510311126, DACC 45.0, DGACC54.32812500000001 
Epoch 170 , SSIM -0.25887408763170244 , GDL 0.7299370747804642, TL 0.47106298625469206, DL 1.3796598267555238, DACC 45.0625, DGACC54.90625 
Epoch 171 , SSIM -0.2587133577466011 , GDL 0.7314938324689865, TL 0.4727804756164551, DL 1.383823914527893, DACC 46.5, DGACC53.796875 
Epoch 172 , SSIM -0.25423864036798477 , GDL 0.7303877317905426, TL 0.4761490899324417, DL 1.3880929923057557, DACC 45.1875, DGACC53.8125 
Epoch 173 , SSIM -0.2581801152229309 , GDL 0.7341231882572175, TL 0.47594307333230973, DL 1.3809371817111968, DACC 44.15625, DGACC54.34375 
Epoch 174 , SSIM -0.2595872044563293 , GDL 0.7359644424915314, TL 0.47637723982334135, DL 1.3781762623786926, DACC 45.1875, DGACC54.78125 
Epoch 175 , SSIM -0.260221226811409 , GDL 0.7397516691684722, TL 0.47953044235706327, DL 1.3689173793792724, DACC 44.625, DGACC55.765625 
Epoch 176 , SSIM -0.25985855266451835 , GDL 0.7378321254253387, TL 0.477973572909832, DL 1.3773106706142426, DACC 45.5625, DGACC55.39062500000001 
